 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Lofthiti (degC)	
21:20 05.01.2019 	 2,26 	 2,48 	 7 	 15 	 234 	 1,9 	  
21:10 05.01.2019 	 2,38 	 2,58 	 5 	 10 	 207 	 1,8 	  
21:00 05.01.2019 	 2,49 	 2,72 	 3 	 5 	 208 	 1,8 	  
20:50 05.01.2019 	 2,61 	 2,84 	 3 	 6 	 214 	 1,5 	  
20:40 05.01.2019 	 2,72 	 2,97 	 5 	 8 	 226 	 1,3 	  
20:30 05.01.2019 	 2,83 	 3,03 	 7 	 13 	 227 	 1,1 	  
20:20 05.01.2019 	 2,93 	 3,15 	 4 	 10 	 205 	 1,6 	  
20:10 05.01.2019 	 3,03 	 3,24 	 4 	 6 	 204 	 1,1 	  
20:00 05.01.2019 	 3,12 	 3,35 	 6 	 11 	 210 	 1 	  
19:50 05.01.2019 	 3,2 	 3,42 	 6 	 9 	 233 	 2,7 	  
19:40 05.01.2019 	 3,28 	 3,52 	 5 	 8 	 239 	 2,8 	  
19:30 05.01.2019 	 3,34 	 3,56 	 5 	 8 	 229 	 2,7 	  
19:20 05.01.2019 	 3,4 	 3,62 	 6 	 9 	 243 	 2,8 	  
19:10 05.01.2019 	 3,46 	 3,69 	 8 	 11 	 249 	 2,8 	  
19:00 05.01.2019 	 3,5 	 3,69 	 8 	 10 	 261 	 2,6 	  
18:50 05.01.2019 	 3,53 	 3,74 	 9 	 12 	 263 	 2,5 	  
18:40 05.01.2019 	 3,56 	 3,79 	 9 	 13 	 261 	 2,7 	  
18:30 05.01.2019 	 3,57 	 3,76 	 11 	 15 	 268 	 2,2 	  
18:20 05.01.2019 	 3,58 	 3,78 	 11 	 18 	 266 	 1,7 	  
18:10 05.01.2019 	 3,58 	 3,71 	 8 	 9 	 261 	 3,4 	  
18:00 05.01.2019 	 3,56 	 3,67 	 9 	 12 	 258 	 3,4 	  
17:50 05.01.2019 	 3,54 	 3,64 	 10 	 13 	 260 	 3,4 	  
17:40 05.01.2019 	 3,51 	 3,64 	 11 	 14 	 263 	 3,3 	  
17:30 05.01.2019 	 3,46 	 3,6 	 12 	 16 	 258 	 3,4 	  
17:20 05.01.2019 	 3,41 	 3,52 	 10 	 13 	 254 	 3,7 	  
17:10 05.01.2019 	 3,35 	 3,48 	 11 	 15 	 254 	 3,7 	  
17:00 05.01.2019 	 3,28 	 3,39 	 10 	 14 	 250 	 3,8 	  
16:50 05.01.2019 	 3,21 	 3,34 	 9 	 13 	 252 	 3,6 	  
16:40 05.01.2019 	 3,12 	 3,27 	 8 	 12 	 252 	 2,9 	  
16:30 05.01.2019 	 3,03 	 3,16 	 11 	 14 	 262 	 2,5 	  
16:20 05.01.2019 	 2,93 	 3,12 	 9 	 14 	 246 	 2,5 	  
16:10 05.01.2019 	 2,83 	 2,97 	 9 	 13 	 243 	 2 	  
16:00 05.01.2019 	 2,72 	 2,89 	 7 	 14 	 252 	 3,2 	  
15:50 05.01.2019 	 2,6 	 2,77 	 6 	 7 	 249 	 2,5 	  
15:40 05.01.2019 	 2,49 	 2,63 	 7 	 12 	 257 	 2,1 	  
15:30 05.01.2019 	 2,36 	 2,5 	 10 	 16 	 258 	 2,2 	  
15:20 05.01.2019 	 2,24 	 2,34 	 6 	 9 	 247 	 2,7 	  
15:10 05.01.2019 	 2,12 	 2,23 	 10 	 13 	 255 	 2,5 	  
15:00 05.01.2019 	 1,99 	 2,11 	 10 	 14 	 257 	 3,3 	  
14:50 05.01.2019 	 1,87 	 1,98 	 5 	 8 	 239 	 3,9 	  
14:40 05.01.2019 	 1,75 	 1,82 	 7 	 9 	 241 	 4,1 	  
14:30 05.01.2019 	 1,63 	 1,67 	 8 	 11 	 246 	 4,1 	  
14:20 05.01.2019 	 1,51 	 1,54 	 7 	 10 	 246 	 4,4 	  
14:10 05.01.2019 	 1,4 	 1,42 	 10 	 13 	 253 	 4,4 	  
14:00 05.01.2019 	 1,3 	 1,33 	 7 	 10 	 258 	 4,7 	  
13:50 05.01.2019 	 1,2 	 1,28 	 8 	 10 	 250 	 4,8 	  
13:40 05.01.2019 	 1,11 	 1,22 	 8 	 10 	 249 	 4,7 	  
13:30 05.01.2019 	 1,03 	 1,16 	 9 	 11 	 253 	 4,8 	  
13:20 05.01.2019 	 0,96 	 1,09 	 9 	 12 	 254 	 5 	  
13:10 05.01.2019 	 0,9 	 1,01 	 10 	 13 	 260 	 5 	  
13:00 05.01.2019 	 0,85 	 0,96 	 8 	 10 	 263 	 4,9 	  
12:50 05.01.2019 	 0,81 	 0,95 	 10 	 12 	 259 	 5,1 	  
12:40 05.01.2019 	 0,78 	 0,95 	 10 	 12 	 260 	 5,1 	  
12:30 05.01.2019 	 0,76 	 0,95 	 12 	 15 	 258 	 5,2 	  
12:20 05.01.2019 	 0,76 	 0,97 	 11 	 16 	 258 	 5,3 	  
12:10 05.01.2019 	 0,76 	 0,98 	 10 	 14 	 257 	 5,3 	  
12:00 05.01.2019 	 0,78 	 1 	 9 	 13 	 258 	 5,4 	  
11:50 05.01.2019 	 0,81 	 1,04 	 6 	 9 	 253 	 5,4 	  
11:40 05.01.2019 	 0,85 	 1,05 	 3 	 5 	 253 	 5 	  
11:30 05.01.2019 	 0,91 	 1,14 	 2 	 5 	 247 	 4,7 	  
11:20 05.01.2019 	 0,97 	 1,2 	 3 	 5 	 225 	 4,7 	  
11:10 05.01.2019 	 1,04 	 1,28 	 6 	 11 	 239 	 4,7 	  
11:00 05.01.2019 	 1,13 	 1,32 	 6 	 10 	 256 	 5 	  
10:50 05.01.2019 	 1,22 	 1,42 	 4 	 4 	 259 	 5 	  
10:40 05.01.2019 	 1,32 	 1,48 	 4 	 5 	 266 	 5 	  
10:30 05.01.2019 	 1,43 	 1,62 	 4 	 5 	 263 	 5 	  
10:20 05.01.2019 	 1,54 	 1,74 	 4 	 5 	 258 	 4,8 	  
10:10 05.01.2019 	 1,66 	 1,88 	 5 	 7 	 260 	 4,7 	  
10:00 05.01.2019 	 1,79 	 2 	 7 	 9 	 263 	 4,7 	  
09:50 05.01.2019 	 1,92 	 2,15 	 8 	 11 	 261 	 4,8 	  
09:40 05.01.2019 	 2,05 	 2,29 	 8 	 12 	 261 	 4,7 	  
09:30 05.01.2019 	 2,18 	 2,42 	 7 	 8 	 253 	 4,7 	  
09:20 05.01.2019 	 2,31 	 2,57 	 6 	 8 	 253 	 4,7 	  
09:10 05.01.2019 	 2,44 	 2,69 	 6 	 8 	 258 	 4,6 	  
09:00 05.01.2019 	 2,57 	 2,87 	 8 	 10 	 267 	 4,6 	  
08:50 05.01.2019 	 2,7 	 2,95 	 7 	 11 	 262 	 4,5 	  
08:40 05.01.2019 	 2,82 	 3,1 	 8 	 10 	 256 	 4,6 	  
08:30 05.01.2019 	 2,94 	 3,22 	 8 	 10 	 251 	 4,6 	  
08:20 05.01.2019 	 3,06 	 3,35 	 8 	 11 	 257 	 4,5 	  
08:10 05.01.2019 	 3,17 	 3,48 	 10 	 12 	 260 	 4,4 	  
08:00 05.01.2019 	 3,28 	 3,63 	 10 	 13 	 259 	 4,5 	  
07:50 05.01.2019 	 3,37 	 3,76 	 11 	 15 	 260 	 4,6 	  
07:40 05.01.2019 	 3,46 	 3,86 	 12 	 15 	 264 	 4,8 	  
07:30 05.01.2019 	 3,55 	 3,95 	 11 	 15 	 254 	 5 	  
07:20 05.01.2019 	 3,62 	 4,02 	 7 	 13 	 166 	 6,8 	  
07:10 05.01.2019 	 3,69 	 4,06 	 8 	 14 	 144 	 8,9 	  
07:00 05.01.2019 	 3,74 	 4,14 	 7 	 12 	 143 	 9,4 	  
06:50 05.01.2019 	 3,79 	 4,18 	 7 	 14 	 147 	 9,5 	  
06:40 05.01.2019 	 3,83 	 4,22 	 7 	 13 	 141 	 9,2 	  
06:30 05.01.2019 	 3,86 	 4,25 	 8 	 12 	 140 	 9,3 	  
06:20 05.01.2019 	 3,88 	 4,24 	 6 	 11 	 136 	 9,4 	  
06:10 05.01.2019 	 3,89 	 4,28 	 7 	 11 	 136 	 9 	  
06:00 05.01.2019 	 3,89 	 4,24 	 7 	 12 	 133 	 9,4 	  
05:50 05.01.2019 	 3,88 	 4,24 	 6 	 8 	 125 	 8,6 	  
05:40 05.01.2019 	 3,85 	 4,2 	 6 	 9 	 134 	 8,7 	  
05:30 05.01.2019 	 3,82 	 4,14 	 6 	 10 	 139 	 9,2 	  
05:20 05.01.2019 	 3,78 	 4,08 	 6 	 11 	 137 	 9,1 	  
05:10 05.01.2019 	 3,74 	 4 	 7 	 10 	 134 	 9,1 	  
05:00 05.01.2019 	 3,68 	 3,92 	 6 	 8 	 131 	 8,1 	  
04:50 05.01.2019 	 3,61 	 3,86 	 7 	 10 	 133 	 8,3 	  
04:40 05.01.2019 	 3,53 	 3,76 	 8 	 14 	 139 	 8,8 	  
04:30 05.01.2019 	 3,45 	 3,69 	 7 	 12 	 138 	 8,9 	  
04:20 05.01.2019 	 3,36 	 3,6 	 8 	 10 	 135 	 8,3 	  
04:10 05.01.2019 	 3,26 	 3,5 	 7 	 10 	 138 	 8,7 	  
04:00 05.01.2019 	 3,16 	 3,41 	 8 	 11 	 138 	 8,7 	  
03:50 05.01.2019 	 3,05 	 3,3 	 8 	 12 	 142 	 9,1 	  
03:40 05.01.2019 	 2,93 	 3,14 	 9 	 13 	 145 	 9,4 	  
03:30 05.01.2019 	 2,81 	 2,99 	 8 	 12 	 142 	 9,1 	  
03:20 05.01.2019 	 2,68 	 2,87 	 8 	 12 	 142 	 8,8 	  
03:10 05.01.2019 	 2,56 	 2,74 	 8 	 12 	 144 	 9 	  
03:00 05.01.2019 	 2,43 	 2,61 	 9 	 15 	 147 	 9,3 	  
02:50 05.01.2019 	 2,3 	 2,5 	 9 	 12 	 145 	 9,2 	  
02:40 05.01.2019 	 2,17 	 2,33 	 8 	 12 	 144 	 9 	  
02:30 05.01.2019 	 2,04 	 2,2 	 9 	 12 	 144 	 9,2 	  
02:20 05.01.2019 	 1,91 	 2,05 	 7 	 11 	 146 	 9 	  
02:10 05.01.2019 	 1,79 	 1,91 	 7 	 11 	 146 	 8,8 	  
02:00 05.01.2019 	 1,67 	 1,8 	 8 	 13 	 146 	 8,8 	  
01:50 05.01.2019 	 1,55 	 1,7 	 8 	 12 	 146 	 9,1 	  
01:40 05.01.2019 	 1,44 	 1,6 	 8 	 12 	 146 	 9,2 	  
01:30 05.01.2019 	 1,34 	 1,5 	 8 	 14 	 144 	 9,3 	  
01:20 05.01.2019 	 1,24 	 1,38 	 8 	 12 	 143 	 9,5 	  
01:10 05.01.2019 	 1,15 	 1,27 	 7 	 11 	 146 	 9,2 	  
01:00 05.01.2019 	 1,07 	 1,19 	 7 	 10 	 142 	 8,9 	  
00:50 05.01.2019 	 1 	 1,12 	 6 	 10 	 145 	 8,9 	  
00:40 05.01.2019 	 0,94 	 1,08 	 8 	 12 	 140 	 9 	  
00:30 05.01.2019 	 0,89 	 1,05 	 7 	 10 	 143 	 9,1 	  
00:20 05.01.2019 	 0,85 	 1,02 	 6 	 9 	 140 	 8,7 	  
00:10 05.01.2019 	 0,82 	 0,97 	 7 	 11 	 141 	 8,5 	  
00:00 05.01.2019 	 0,8 	 0,96 	 7 	 10 	 142 	 8,9 	  
23:50 04.01.2019 	 0,79 	 0,92 	 6 	 9 	 147 	 8,7 	  
23:40 04.01.2019 	 0,8 	 0,93 	 6 	 9 	 145 	 9,1 	  
23:30 04.01.2019 	 0,81 	 0,96 	 7 	 12 	 147 	 8,9 	  
23:20 04.01.2019 	 0,84 	 1,02 	 8 	 12 	 146 	 8,7 	  
23:10 04.01.2019 	 0,88 	 1,04 	 8 	 12 	 146 	 9 	  
23:00 04.01.2019 	 0,92 	 1,11 	 8 	 13 	 145 	 9 	  
22:50 04.01.2019 	 0,98 	 1,13 	 9 	 13 	 141 	 8,7 	  
22:40 04.01.2019 	 1,05 	 1,2 	 9 	 14 	 144 	 8,5 	  
22:30 04.01.2019 	 1,12 	 1,26 	 8 	 13 	 145 	 8,7 	  
22:20 04.01.2019 	 1,2 	 1,36 	 8 	 12 	 149 	 9 	  
22:10 04.01.2019 	 1,29 	 1,45 	 8 	 11 	 146 	 8,9 	  
22:00 04.01.2019 	 1,39 	 1,56 	 7 	 11 	 146 	 8,9 	  
21:50 04.01.2019 	 1,49 	 1,65 	 7 	 11 	 146 	 8,9 	  
21:40 04.01.2019 	 1,59 	 1,76 	 8 	 11 	 146 	 9 	  
21:30 04.01.2019 	 1,7 	 1,89 	 7 	 11 	 147 	 9,1 	  
21:20 04.01.2019 	 1,82 	 1,98 	 8 	 12 	 146 	 9 	  
21:10 04.01.2019 	 1,93 	 2,12 	 7 	 12 	 146 	 9,2 	  
21:00 04.01.2019 	 2,05 	 2,24 	 7 	 11 	 147 	 9,2 	  
20:50 04.01.2019 	 2,16 	 2,35 	 7 	 12 	 148 	 9,2 	  
20:40 04.01.2019 	 2,28 	 2,48 	 7 	 11 	 146 	 9,2 	  
20:30 04.01.2019 	 2,39 	 2,59 	 7 	 12 	 142 	 9 	  
20:20 04.01.2019 	 2,5 	 2,7 	 8 	 13 	 145 	 9,2 	  
20:10 04.01.2019 	 2,61 	 2,82 	 7 	 12 	 147 	 9,1 	  
20:00 04.01.2019 	 2,72 	 2,97 	 6 	 11 	 149 	 9,1 	  
19:50 04.01.2019 	 2,82 	 3,06 	 7 	 13 	 149 	 9,1 	  
19:40 04.01.2019 	 2,91 	 3,17 	 8 	 12 	 148 	 9,1 	  
19:30 04.01.2019 	 3 	 3,22 	 7 	 11 	 147 	 9,2 	  
19:20 04.01.2019 	 3,09 	 3,31 	 7 	 11 	 144 	 9,1 	  
19:10 04.01.2019 	 3,17 	 3,39 	 7 	 11 	 148 	 9,1 	  
19:00 04.01.2019 	 3,24 	 3,49 	 7 	 12 	 145 	 9,1 	  
18:50 04.01.2019 	 3,3 	 3,51 	 8 	 13 	 147 	 9,2 	  
18:40 04.01.2019 	 3,35 	 3,58 	 7 	 11 	 144 	 9,5 	  
18:30 04.01.2019 	 3,4 	 3,61 	 7 	 11 	 144 	 9,3 	  
18:20 04.01.2019 	 3,44 	 3,64 	 8 	 12 	 143 	 9,3 	  
18:10 04.01.2019 	 3,47 	 3,66 	 7 	 12 	 146 	 8,9 	  
18:00 04.01.2019 	 3,49 	 3,66 	 7 	 11 	 147 	 8,8 	  
17:50 04.01.2019 	 3,5 	 3,68 	 7 	 12 	 149 	 8,9 	  
17:40 04.01.2019 	 3,51 	 3,71 	 7 	 13 	 152 	 8,9 	  
17:30 04.01.2019 	 3,5 	 3,68 	 7 	 11 	 148 	 9 	  
17:20 04.01.2019 	 3,49 	 3,69 	 7 	 11 	 147 	 8,9 	  
17:10 04.01.2019 	 3,46 	 3,64 	 7 	 13 	 146 	 9,1 	  
17:00 04.01.2019 	 3,43 	 3,61 	 7 	 12 	 150 	 9,1 	  
16:50 04.01.2019 	 3,39 	 3,57 	 6 	 11 	 153 	 9,2 	  
16:40 04.01.2019 	 3,34 	 3,52 	 5 	 10 	 149 	 9,4 	  
16:30 04.01.2019 	 3,28 	 3,46 	 4 	 9 	 146 	 9,3 	  
16:20 04.01.2019 	 3,22 	 3,4 	 4 	 8 	 151 	 9,2 	  
16:10 04.01.2019 	 3,14 	 3,31 	 5 	 10 	 145 	 9,2 	  
16:00 04.01.2019 	 3,06 	 3,24 	 6 	 10 	 142 	 9,2 	  
15:50 04.01.2019 	 2,97 	 3,13 	 5 	 10 	 139 	 9,2 	  
15:40 04.01.2019 	 2,88 	 3,02 	 5 	 8 	 139 	 8,7 	  
15:30 04.01.2019 	 2,78 	 2,94 	 5 	 8 	 138 	 8,9 	  
15:20 04.01.2019 	 2,67 	 2,81 	 5 	 7 	 138 	 9,1 	  
15:10 04.01.2019 	 2,56 	 2,71 	 5 	 9 	 149 	 9,2 	  
15:00 04.01.2019 	 2,45 	 2,56 	 5 	 10 	 158 	 9,1 	  
14:50 04.01.2019 	 2,34 	 2,41 	 5 	 10 	 156 	 9,1 	  
14:40 04.01.2019 	 2,22 	 2,3 	 6 	 11 	 161 	 9,1 	  
14:30 04.01.2019 	 2,1 	 2,2 	 6 	 10 	 155 	 8,9 	  
14:20 04.01.2019 	 1,98 	 2,11 	 6 	 14 	 159 	 8,9 	  
14:10 04.01.2019 	 1,87 	 2,02 	 7 	 12 	 163 	 9 	  
14:00 04.01.2019 	 1,75 	 1,88 	 6 	 11 	 157 	 9 	  
13:50 04.01.2019 	 1,64 	 1,76 	 7 	 12 	 153 	 9,1 	  
13:40 04.01.2019 	 1,53 	 1,64 	 6 	 9 	 146 	 9,1 	  
13:30 04.01.2019 	 1,43 	 1,57 	 6 	 10 	 145 	 9,1 	  
13:20 04.01.2019 	 1,33 	 1,48 	 6 	 10 	 145 	 9 	  
13:10 04.01.2019 	 1,24 	 1,4 	 6 	 13 	 148 	 9,1 	  
13:00 04.01.2019 	 1,16 	 1,31 	 5 	 9 	 152 	 9,1 	  
12:50 04.01.2019 	 1,08 	 1,22 	 6 	 11 	 151 	 9,2 	  
12:40 04.01.2019 	 1,02 	 1,14 	 6 	 11 	 144 	 9,1 	  
12:30 04.01.2019 	 0,96 	 1,09 	 6 	 9 	 143 	 8,9 	  
12:20 04.01.2019 	 0,92 	 1,03 	 6 	 9 	 145 	 9 	  
12:10 04.01.2019 	 0,88 	 1,01 	 6 	 10 	 147 	 9 	  
12:00 04.01.2019 	 0,86 	 1,02 	 7 	 11 	 146 	 9 	  
11:50 04.01.2019 	 0,84 	 1,01 	 6 	 12 	 148 	 9,1 	  
11:40 04.01.2019 	 0,84 	 1,01 	 5 	 11 	 153 	 9,4 	  
11:30 04.01.2019 	 0,85 	 1,02 	 6 	 10 	 152 	 9,4 	  
11:20 04.01.2019 	 0,87 	 1,03 	 5 	 10 	 159 	 9,1 	  
11:10 04.01.2019 	 0,9 	 1,08 	 6 	 10 	 156 	 9,2 	  
11:00 04.01.2019 	 0,94 	 1,14 	 6 	 11 	 158 	 9,2 	  
10:50 04.01.2019 	 0,99 	 1,2 	 6 	 10 	 162 	 9,3 	  
10:40 04.01.2019 	 1,05 	 1,28 	 5 	 10 	 160 	 9,2 	  
10:30 04.01.2019 	 1,12 	 1,33 	 7 	 15 	 170 	 9,4 	  
10:20 04.01.2019 	 1,2 	 1,4 	 7 	 14 	 170 	 9,2 	  
10:10 04.01.2019 	 1,28 	 1,51 	 7 	 13 	 163 	 9,6 	  
10:00 04.01.2019 	 1,38 	 1,61 	 6 	 12 	 160 	 9,9 	  
09:50 04.01.2019 	 1,48 	 1,71 	 7 	 12 	 166 	 9,8 	  
09:40 04.01.2019 	 1,59 	 1,85 	 6 	 11 	 162 	 9,7 	  
09:30 04.01.2019 	 1,7 	 1,94 	 6 	 12 	 151 	 9,5 	  
09:20 04.01.2019 	 1,82 	 2,07 	 7 	 15 	 148 	 9,6 	  
09:10 04.01.2019 	 1,94 	 2,17 	 8 	 14 	 146 	 9,6 	  
09:00 04.01.2019 	 2,06 	 2,27 	 7 	 12 	 148 	 9,7 	  
08:50 04.01.2019 	 2,18 	 2,39 	 7 	 12 	 145 	 9,9 	  
08:40 04.01.2019 	 2,31 	 2,55 	 9 	 13 	 146 	 9,8 	  
08:30 04.01.2019 	 2,43 	 2,67 	 9 	 15 	 148 	 9,7 	  
08:20 04.01.2019 	 2,55 	 2,82 	 10 	 15 	 146 	 9,7 	  
08:10 04.01.2019 	 2,67 	 2,94 	 11 	 18 	 143 	 9,7 	  
08:00 04.01.2019 	 2,79 	 3,05 	 11 	 15 	 144 	 9,8 	  
07:50 04.01.2019 	 2,9 	 3,17 	 10 	 15 	 144 	 9,6 	  
07:40 04.01.2019 	 3,01 	 3,29 	 10 	 15 	 145 	 9,7 	  
07:30 04.01.2019 	 3,11 	 3,38 	 9 	 14 	 144 	 10,1 	  
07:20 04.01.2019 	 3,21 	 3,49 	 8 	 12 	 142 	 9,9 	  
07:10 04.01.2019 	 3,3 	 3,58 	 8 	 13 	 145 	 9,7 	  
07:00 04.01.2019 	 3,39 	 3,66 	 9 	 13 	 141 	 9,9 	  
06:50 04.01.2019 	 3,46 	 3,72 	 9 	 13 	 138 	 9,1 	  
06:40 04.01.2019 	 3,53 	 3,81 	 9 	 14 	 142 	 9,5 	  
06:30 04.01.2019 	 3,59 	 3,89 	 8 	 13 	 143 	 9,5 	  
06:20 04.01.2019 	 3,65 	 3,94 	 9 	 13 	 147 	 9,4 	  
06:10 04.01.2019 	 3,69 	 3,99 	 9 	 17 	 146 	 9,5 	  
06:00 04.01.2019 	 3,72 	 4,02 	 9 	 14 	 148 	 9,7 	  
05:50 04.01.2019 	 3,75 	 4,06 	 9 	 14 	 149 	 9,9 	  
05:40 04.01.2019 	 3,77 	 4,09 	 9 	 16 	 147 	 9,8 	  
05:30 04.01.2019 	 3,77 	 4,1 	 9 	 14 	 145 	 9,7 	  
05:20 04.01.2019 	 3,77 	 4,09 	 9 	 13 	 145 	 9,5 	  
05:10 04.01.2019 	 3,76 	 4,06 	 9 	 15 	 147 	 9,7 	  
05:00 04.01.2019 	 3,74 	 4,01 	 9 	 14 	 146 	 9,8 	  
04:50 04.01.2019 	 3,71 	 3,97 	 9 	 13 	 142 	 9,5 	  
04:40 04.01.2019 	 3,67 	 3,91 	 8 	 12 	 143 	 9,7 	  
04:30 04.01.2019 	 3,63 	 3,88 	 8 	 14 	 143 	 10 	  
04:20 04.01.2019 	 3,57 	 3,81 	 8 	 14 	 140 	 9,7 	  
04:10 04.01.2019 	 3,51 	 3,74 	 6 	 10 	 143 	 9,6 	  
04:00 04.01.2019 	 3,44 	 3,66 	 5 	 10 	 139 	 9,5 	  
03:50 04.01.2019 	 3,36 	 3,57 	 6 	 11 	 129 	 9,8 	  
03:40 04.01.2019 	 3,27 	 3,46 	 4 	 7 	 100 	 9,7 	  
03:30 04.01.2019 	 3,18 	 3,36 	 6 	 10 	 124 	 9,7 	  
03:20 04.01.2019 	 3,08 	 3,27 	 5 	 8 	 128 	 9,5 	  
03:10 04.01.2019 	 2,98 	 3,16 	 4 	 7 	 114 	 9,8 	  
03:00 04.01.2019 	 2,87 	 3,03 	 4 	 6 	 110 	 9,8 	  
02:50 04.01.2019 	 2,75 	 2,9 	 4 	 9 	 112 	 9,8 	  
02:40 04.01.2019 	 2,64 	 2,78 	 5 	 7 	 122 	 9,3 	  
02:30 04.01.2019 	 2,52 	 2,64 	 6 	 9 	 130 	 9,5 	  
02:20 04.01.2019 	 2,39 	 2,54 	 5 	 8 	 138 	 9,5 	  
02:10 04.01.2019 	 2,27 	 2,4 	 5 	 8 	 133 	 9,6 	  
02:00 04.01.2019 	 2,15 	 2,29 	 6 	 8 	 120 	 9,4 	  
01:50 04.01.2019 	 2,03 	 2,14 	 8 	 10 	 84 	 8,8 	  
01:40 04.01.2019 	 1,91 	 2 	 8 	 10 	 83 	 8,8 	  
01:30 04.01.2019 	 1,79 	 1,89 	 8 	 10 	 83 	 9,1 	  
01:20 04.01.2019 	 1,68 	 1,78 	 9 	 11 	 89 	 8,9 	  
01:10 04.01.2019 	 1,57 	 1,69 	 9 	 10 	 94 	 8,9 	  
01:00 04.01.2019 	 1,47 	 1,59 	 8 	 10 	 92 	 8,4 	  
00:50 04.01.2019 	 1,37 	 1,5 	 8 	 10 	 83 	 7,5 	  
00:40 04.01.2019 	 1,29 	 1,41 	 8 	 10 	 93 	 7,7 	  
00:30 04.01.2019 	 1,2 	 1,36 	 10 	 11 	 102 	 8,1 	  
00:20 04.01.2019 	 1,13 	 1,25 	 10 	 12 	 104 	 7,9 	  
00:10 04.01.2019 	 1,07 	 1,19 	 8 	 10 	 103 	 7,8 	  
00:00 04.01.2019 	 1,01 	 1,14 	 8 	 10 	 89 	 7,8 	  
23:50 03.01.2019 	 0,97 	 1,11 	 8 	 10 	 91 	 7,8 	  
23:40 03.01.2019 	 0,93 	 1,08 	 7 	 10 	 100 	 7,5 	  
23:30 03.01.2019 	 0,9 	 1,04 	 6 	 8 	 100 	 7,8 	  
23:20 03.01.2019 	 0,89 	 1 	 7 	 8 	 92 	 7,6 	  
23:10 03.01.2019 	 0,88 	 1 	 6 	 7 	 95 	 7,1 	  
23:00 03.01.2019 	 0,89 	 0,97 	 6 	 7 	 89 	 7,1 	  
22:50 03.01.2019 	 0,9 	 1 	 6 	 7 	 97 	 6,9 	  
22:40 03.01.2019 	 0,93 	 1,02 	 6 	 7 	 117 	 6,4 	  
22:30 03.01.2019 	 0,96 	 1,08 	 6 	 7 	 123 	 6,1 	  
22:20 03.01.2019 	 1 	 1,16 	 6 	 8 	 126 	 6,3 	  
22:10 03.01.2019 	 1,05 	 1,22 	 6 	 8 	 126 	 6,5 	  
22:00 03.01.2019 	 1,11 	 1,27 	 6 	 9 	 127 	 6,9 	  
21:50 03.01.2019 	 1,18 	 1,32 	 5 	 8 	 121 	 7 	  
21:40 03.01.2019 	 1,26 	 1,38 	 5 	 7 	 120 	 6,8 	  
21:30 03.01.2019 	 1,34 	 1,48 	 4 	 6 	 111 	 6,3 	  
21:20 03.01.2019 	 1,43 	 1,61 	 4 	 5 	 110 	 6,3 	  
21:10 03.01.2019 	 1,52 	 1,72 	 5 	 6 	 119 	 6,6 	  
21:00 03.01.2019 	 1,62 	 1,81 	 6 	 6 	 125 	 6,4 	  
20:50 03.01.2019 	 1,72 	 1,92 	 5 	 6 	 116 	 6,2 	  
20:40 03.01.2019 	 1,83 	 2 	 5 	 7 	 120 	 6,5 	  
20:30 03.01.2019 	 1,93 	 2,09 	 4 	 5 	 124 	 6,2 	  
20:20 03.01.2019 	 2,04 	 2,19 	 4 	 5 	 127 	 6,2 	  
20:10 03.01.2019 	 2,15 	 2,31 	 4 	 5 	 126 	 6,7 	  
20:00 03.01.2019 	 2,26 	 2,43 	 4 	 5 	 131 	 6,4 	  
19:50 03.01.2019 	 2,37 	 2,55 	 4 	 6 	 123 	 6,7 	  
19:40 03.01.2019 	 2,47 	 2,62 	 3 	 4 	 125 	 6,6 	  
19:30 03.01.2019 	 2,57 	 2,73 	 1 	 2 	 150 	 6,7 	  
19:20 03.01.2019 	 2,67 	 2,82 	 3 	 4 	 145 	 6,9 	  
19:10 03.01.2019 	 2,77 	 2,89 	 4 	 5 	 133 	 6,4 	  
19:00 03.01.2019 	 2,86 	 3 	 4 	 5 	 119 	 5,9 	  
18:50 03.01.2019 	 2,94 	 3,09 	 4 	 5 	 109 	 6,2 	  
18:40 03.01.2019 	 3,02 	 3,18 	 4 	 5 	 124 	 6 	  
18:30 03.01.2019 	 3,09 	 3,25 	 3 	 4 	 135 	 6,8 	  
18:20 03.01.2019 	 3,16 	 3,34 	 3 	 3 	 133 	 6,3 	  
18:10 03.01.2019 	 3,22 	 3,39 	 2 	 4 	 143 	 7,2 	  
18:00 03.01.2019 	 3,27 	 3,45 	 2 	 4 	 128 	 7 	  
17:50 03.01.2019 	 3,31 	 3,48 	 3 	 4 	 115 	 6,3 	  
17:40 03.01.2019 	 3,35 	 3,56 	 2 	 4 	 134 	 6,5 	  
17:30 03.01.2019 	 3,38 	 3,59 	 2 	 5 	 167 	 7,3 	  
17:20 03.01.2019 	 3,4 	 3,6 	 4 	 7 	 183 	 7,3 	  
17:10 03.01.2019 	 3,42 	 3,61 	 3 	 6 	 184 	 7,3 	  
17:00 03.01.2019 	 3,42 	 3,58 	 3 	 6 	 176 	 7,2 	  
16:50 03.01.2019 	 3,42 	 3,58 	 3 	 6 	 174 	 7,3 	  
16:40 03.01.2019 	 3,41 	 3,57 	 4 	 8 	 189 	 7,4 	  
16:30 03.01.2019 	 3,39 	 3,56 	 3 	 7 	 166 	 7,4 	  
